Nama Reviewer,Lokasi Reviewer,Tanggal Mereview,Rating,Ulasan,Nama Hotel
Binsar,,Juni 2016,3.0,The place is great. great for family gatherings.,Istana Savage - stunning private secluded retreat
Tantri,,Desember 2024,4.0,Good place to staycation with family and friends,Istana Savage - stunning private secluded retreat
Sebastianus Adi,,Desember 2023,4.0,"Everything was good, ok and satisfied about the place.
One feedback, for all the TV at 1st floor, the remote was not too sensitive.",Istana Savage - stunning private secluded retreat
Heejung Annie,,September 2023,4.0,"There are many dining tables or cutlery for large family gatherings, and the ping pong table, trampoline, playroom, media room, and kitchen are well stocked for adults and children.",Istana Savage - stunning private secluded retreat
Regina,,Desember 2024,4.0,"the villa was great
the pool was big and clean.
kitchen provided with complete cooking supply. a lot fun activities to do
there was a maid/helper room which is one way connected to the villa. they can enter the villa meanwhile we can not lock it from inside. it bit make us uncomfortable. karaoke room probided with giant screen but only can use until 10pm.  they will charge extra person even for children above 2yrs. 
over all its nice villa to stay.",Istana Savage - stunning private secluded retreat
Lianah,,Februari 2024,4.0,the old stove is hot so the old cooking is cooked,Istana Savage - stunning private secluded retreat
Jeremia,,Juni 2023,4.0,nice,Istana Savage - stunning private secluded retreat
Primananda,,Juni 2023,4.0,"It's nice to stay here.. It's so exciting.. But the pool is very deep.. Amenities as advertised.. Super fully equipped kitchen.. Clean in general even though there are some cobweb spots.. Quite a lot of ants, be careful to keep food in an open space",Istana Savage - stunning private secluded retreat
Fernisia,,Agustus 2025,5.0,"fantastic! the host team was helpful and easy to contact. all the recreational stuff like trampoline, swimming pool, table tennis, grill, karaoke were splendid!",Istana Savage - stunning private secluded retreat
Bambi,,Agustus 2025,5.0,The experience was so nice. the staff was very helpful. The place is great for a family gathering and staycation. will come back.,Istana Savage - stunning private secluded retreat
Candrawani,,Juni 2025,5.0,"Some comments and feedback about the place:
1. The kitchen utensils are superb and in good condition (except rice cooker and stoves fire can’t be adjusted). I love cooking, so their kitchen facility is like heaven to me :D
2. There are housekeepers staying together at the annex, and ready to help. So I felt even safer and relaxed.
3. The beds are not suitable for toddler and baby as they are relatively high and no baby cot around. Fortunately they have karaoke room with mattresses.
4. Love the children room, it is like mini gym.
In overall, we love the place and recommends it to our relatives and friends.",Istana Savage - stunning private secluded retreat
Kristiana Linda,,Juni 2025,5.0,"Even though our stay was brief (one night only), this space was truly beyond our expectation. The available amenities & facilities were very modern, complete & fulfilling. 
We enjoyed & appreciated the private atmosphere.
Would love to be back again sometime.",Istana Savage - stunning private secluded retreat
Sinta,,Juni 2025,5.0,"Overall the villa is well maintained and clean. For family events, the home facilities, especially the kitchen, are very complete. 
It's just that there are quite a lot of statue accessories because there are a lot of small children, it's scary if it's broken.
Suggestion: it would be better to have an additional air conditioning unit in the dining area (because people often gather in that area, but when you try to open the door / window it's still hot) even though there is an air conditioning unit in the living room, the cold doesn't reach the dining room.
still lovely stay at your villa.",Istana Savage - stunning private secluded retreat
Omar,,Juni 2025,5.0,"Thank you, John",Istana Savage - stunning private secluded retreat
Angel,,Mei 2025,5.0,"My big family and I stayed at John's for 3 days, we had fun staying there with all the complete facilities. We love the kitchen and all the utensils that come with it. The pool was also amazing, even the playroom.",Istana Savage - stunning private secluded retreat
Resti,,Mei 2025,5.0,"Definitely on top of our great villas to stay list. There’s activity for everyone from swimming pool, karaoke, children’s playroom, tennis table, and of course the huge kitchen! The grandmas are having so much fun cooking during our stay. The villa is spotless, staffs are very helpful. Also you can see alpacas from the patio if you look closely.",Istana Savage - stunning private secluded retreat
Stance,,Februari 2024,1.0,"The owner is very bad, for a 5 stay only given access. Very uncomfortable with having to pick up and drop off we have 5 because access up and enter the unit is only 1. Then the unit is dirty that has confirmed the old stains in the refrigerator but it's even wrong of the tenant :). There is also a slow response damage. The shower main bathroom can't be used, the dishwashing water faucet has been shaken. The owner is also not the type to provide a solution but he who has him is more offering to come out now as if he doesn't want to be completed :)",Ciputra World The Via 3BR Garden & Pool View -130m
Glen,,Desember 2024,1.0,"The air con and TV not working, most doors are either cannot close or handle spoilt. Toilet sink clog. Host never response to our problems",Ciputra World The Via 3BR Garden & Pool View -130m
Yuanita,,Agustus 2022,1.0,"The cleanliness of the Apartment is less, there are used items that may be left behind from the previous visitors (wet clothes, used tissues). Ice Cabinets smell great. The sink still has leftovers from the previous visitors. Lots of Big Ants on the Floor. Aqua gallon is empty.",Ciputra World The Via 3BR Garden & Pool View -130m
Stuart,,Agustus 2024,2.0,"Sorry,  pictures don't reflect the aging place, the apartment needs renovating as it's not the cleanest as has peeling wall paper everywhere - bathrooms are not nice. Unfortunately,  the swimming pool was in maintenance and could not be used for our stay cation - we should have know about this as it is what we planned to do, and it's highly featured - we actually chose the place because of this - Overall, very disappointed",Ciputra World The Via 3BR Garden & Pool View -130m
Henk,,Januari 2024,2.0,"Location very good Cleanliness and maintenance far below arrow.
Upon arrival there was self check-in., right on arrival it was noticeable that the apartment was very dirty and necessary for maintenance., wallpaper was loose in several places, curtains were broken and difficult to lock, doors were in poor condition and stuck almost everywhere. In addition, things were unusable, such as washing machine, TV bedroom, pans and other cooking utensils were in a bad condition and almost unusable, despised that on the beds, was dirty and didn't seem to be changed, there was nothing else we could exchange it with. 
Shower rooms were dirty and very poor or not cleaned at all, towels 1 to 2 provided. We had booked for 6 people!
From this disappointment, we sent the Sherly, the host, a message with our complaints. 
Although there was an hour of response time, they didn't respond. Because it took too long, we're just going to do some shopping.",Ciputra World The Via 3BR Garden & Pool View -130m
Emanuel,,Agustus 2025,3.0,"A good accommodation for a few nights, especially since you can use the pool of the residential complex. Unfortunately, it was not very clean, it did not smell good and the walls had many stains.",Ciputra World The Via 3BR Garden & Pool View -130m
Marianto,,Februari 2024,3.0,This place is actually good but needs improvements,Ciputra World The Via 3BR Garden & Pool View -130m
Vinda,,Desember 2022,3.0,"Great location, great pool and park, the security is very helpful. But the house need to be maintain, esp the bathroom and the kitchen.",Ciputra World The Via 3BR Garden & Pool View -130m
Sarah ,,Oktober 2022,3.0,"Poor communication, Check in was very complicated due to the fact the owner didn’t tell anybody in the reception we were due to arrive. Room still had plastic bags of food from previous owners there. Wifi password was wrong and lastly no toilet paper. I wouldn’t recommend",Ciputra World The Via 3BR Garden & Pool View -130m
Yansen,,Mei 2025,4.0,"I stayed here for one day, and overall everything was as shown in the photos. However, I was a bit disappointed because I was delayed checking in—the place was still being cleaned when I was supposed to be able to enter. Also, the listing mentioned a bathtub, but there wasn’t one. It would be helpful to improve the accuracy of the description. Additionally, please provide more detailed information about the check-in process, especially if it’s via the parking area at 3A. There are many towers in that area, which can be confusing for first-time visitors. Thank you",Ciputra World The Via 3BR Garden & Pool View -130m
Vergian,,Desember 2024,4.0,"Good location and superb floor, easy to acces swimming pool and garden, the view all around garden.. looks like landed house than apartment..",Ciputra World The Via 3BR Garden & Pool View -130m
Henri,,Desember 2024,4.0,Good place but you need to improve your cleanliness because the floor sticky and dirty so i need to mop the floor. And I found dry rice on the blanket of one of the room.,Ciputra World The Via 3BR Garden & Pool View -130m
Elia,,Juli 2024,4.0,"the place is okee big bgt, the tv and the equipment is complete, the location is to the mall cw
there is only mold growing at the bathroom door of the main room",Ciputra World The Via 3BR Garden & Pool View -130m
Heidi,,Juni 2024,4.0,"the apartment is spacious, clean, nice, the facilities are complete. recommended! 👍👍👍😊",Ciputra World The Via 3BR Garden & Pool View -130m
Chika,,Mei 2024,4.0,"Overall it was a good stay, but i think some things needs to be improved, such as:
Sherly needs to be more proactive to the guests about the basic needs. For example, we won’t be able to connect to wifi if we didn’t ask for the password. Even after we asked, she still gave us the wrong one, so it took us quite some times to connect.
The TV also not working. If we didn’t ask, she won’t tell us. The parking card as well, we have to pay for the first day parking because we only got the card on the 2nd day after we asked. 
The place was nice, but i think Sherly needs to be more proactive, overcommunicating things for the guests so the stays will be more comfortable.
D Travellers",Ciputra World The Via 3BR Garden & Pool View -130m
Ella,,September 2025,5.0,"nice, clean and spacious apartment for family.",Ciputra World The Via 3BR Garden & Pool View -130m
Hendri,,September 2025,5.0,"The apartment is nice and very spacious. The bed is a King Koil, the sheets are clean and odorless. But unfortunately it's poorly maintained because the interior needs a little improvement and the cleanliness is not detailed.
Overall Worth it and will come back again. Thank you.",Ciputra World The Via 3BR Garden & Pool View -130m
Rengga Eko,,Agustus 2025,5.0,very satisfied staying here.. and can have private parking too... exceeded my expectations..,Ciputra World The Via 3BR Garden & Pool View -130m
Franky Hendrawan Jaya,,Agustus 2025,5.0,"The response was quick, the service from the beginning to the exit in the guide ..the room was okay..",Ciputra World The Via 3BR Garden & Pool View -130m
Grace,,Agustus 2025,5.0,Sherly is very accommodative and responsiv,Ciputra World The Via 3BR Garden & Pool View -130m
Ardiana,,Agustus 2025,5.0,"a highly recommended place to stay. on one floor with a swimming pool, gym, and garden. and there's direct access to the mall
clean room, complete facilities. 
responsive owner
friendly and responsive apartment staff",Ciputra World The Via 3BR Garden & Pool View -130m
Devin,,Mei 2025,5.0,"This is not a brand new apartment, so yes, there are minor maintenance gaps. However, it's clean and everything works. It fits our purpose so we enjoyed our stay and will return here. Thank you Sherly!",Ciputra World The Via 3BR Garden & Pool View -130m
Indri,,April 2025,5.0,It was a pleasant stay for our family. Thanks for hosting us!,Ciputra World The Via 3BR Garden & Pool View -130m
Okky,,April 2025,5.0,"strategic unit location, level and close to public facilities. good view because you can see the beautiful garden direction. the apartment staff is friendly and helpful.. great experience♡",Ciputra World The Via 3BR Garden & Pool View -130m
Rajesh,,Agustus 2024,1.0,insects and wrong money minded,【JB City Suasana】Feel Like Home Getaway byⓗⓢ
Daryi,,Juni 2022,1.0,"The apartment was generally simple and ok when we first entered but we were very disappointed later upon seeing the grimy and dirty bathroom. It was unpleasantly wet when we first saw it. it seemed like a lame attempt was made to clean it earlier because it was wet when we arrived but unfortunately it still looked very dirty. it was very obvious that the bathroom  hasn't been cleaned up property for a long time, accumulated grime and dirt from previous usage of the bathroom remained. Toilet seat had stains from past usage and the shower stall looked grimy. Disgusting mold lined the edge of the bathroom sink area. The ground at the edge around the toilet bowl had very dirty brown stains lining it - looking like from accumulated urine stains. A pair of filthy looking wet bathroom slippers was also left behind, supposedly for guest use but really, it shouldn't be left there. 
The bedroom also had a clump of dirt and hair near the bedside table. 
These filthy sights in the apartment basically ruined our experience of what was an initial ok impression of the place. Will never go back again.",【JB City Suasana】Feel Like Home Getaway byⓗⓢ
Jiehuai,,September 2025,2.0,There was smell in the toilet and blankets. The shower drain was stuck making it flooded and unsightly. It was hard to bath too with the flood. The shampoo bottle spoilttoo. Definitely can do better to upkeep the place,【JB City Suasana】Feel Like Home Getaway byⓗⓢ
Malini,,Februari 2024,2.0,"I've stayed at suasanna suites 3x in the last year. Most of the apartments there are great because the location is great! but this apartment did not meet expectations. The bathroom was very very very smelly ): There was mould and water dripping from the toilet ceiling. The smell was SO strong when we walked in.. smelled like sewage ): After airing it, it was better.. but still very bad... there was also a few strands of hair on the bed. Normally I wouldn't mind some dirt and hair but coupled with the smell, it did not feel very clean ):",【JB City Suasana】Feel Like Home Getaway byⓗⓢ
伊芹cheng,,Mei 2023,2.0,"It's a bit troublesome to book when you book, you need to verify it. I didn't need any other listings I booked before, and the check-in information is incomplete.",【JB City Suasana】Feel Like Home Getaway byⓗⓢ
Hafina,,Oktober 2022,2.0,Thing to take note that the water from the toilet taps and shower head came out dirty like brownish colour.. we found it disgusting to shower in that kind of water. The only good thing about this Airbnb is the location.,【JB City Suasana】Feel Like Home Getaway byⓗⓢ
Hui Yin,,September 2025,3.0,"Great location near malls, easy check-in, and felt safe with a front desk. The apartment was clean and spacious for two. However, the shower drain was clogged, causing flooding of soapy water to the toilet area that took awhile to go away. Despite the host's quick response, the issue wasn't resolved during our stay. Hopefully it's fixed for future guests as there’s only one toilet.",【JB City Suasana】Feel Like Home Getaway byⓗⓢ
Chitra,,Januari 2025,3.0,"tv no local channels 
limited netflix 
remote control, mouse not so functional  so couldn't watch tv much 
toilet tiles dirty 
house was clean
there is sofa bed and 1 extra mattress 
walking distance from ciq, komtar
haidilao below is highly recommended to eat!
lepak corner, barber shop opposite 24hrs 
7eleven 24hrs below
swimming pool simple and nice
bars, restaurant below
host was responsive and helpful 
thank you for the stay",【JB City Suasana】Feel Like Home Getaway byⓗⓢ
Erinna,,Januari 2025,3.0,Stayed many times with Havona in all different units. This unit is okay.,【JB City Suasana】Feel Like Home Getaway byⓗⓢ
Italo,,Desember 2025,3.0,"Just stay for a night, well I’ll say it’s not as good as the photos, should do better cleaning with… like the sofa…",【JB City Suasana】Feel Like Home Getaway byⓗⓢ
Douglas,,November 2025,3.0,"Our stay was 4 days 3 night… Abit disappointing with the service as air-cons are not cold in both living room and bedroom at first.
Despite the maintenance done by technician, aircon in living room remains the same with no improvement at all. Thankfully there is a standing fan around to help circulate the living room to provide some coolness in the air.
Less the aircon, overall still pleasant experience with the nearby amenities.",【JB City Suasana】Feel Like Home Getaway byⓗⓢ
Haziq,,Oktober 2024,3.0,good,【JB City Suasana】Feel Like Home Getaway byⓗⓢ
Kah Ming,,Juni 2024,3.0,"suggest bring ur own toiletries 🌚there have nothing other than towel, toilet paper and hair dryer",【JB City Suasana】Feel Like Home Getaway byⓗⓢ
Say,,Maret 2024,3.0,Place is at a great location. All amenities can be used. Hosts were very responsive whenever I had problems.. but the toilet huhu.. can read what other people saying 😝 Super mouldy not just on the floor. I wonder how the mould get to the higher part of the wall. Haha bye,【JB City Suasana】Feel Like Home Getaway byⓗⓢ
Tamlyn,,Februari 2024,3.0,"Location was great. Komtar mall and city square were right across the road. Secure access with keycard although the lift sensors were sensitive enough. House was overall clean and well-kept. Pity that the bathroom ceiling was leaking constantly. One of the bedroom lights were flickering too. Thankfully, the standing lamp worked well. Bed and pillows were comfy. Living area spacious. Might consider staying here again. Hope the lights and ceiling get fixed well!",【JB City Suasana】Feel Like Home Getaway byⓗⓢ
Lynette,,Februari 2024,3.0,A fairly good place to stay.   A bit wear and tear was noticeable.only dislike was the moldy toilet ceiling,【JB City Suasana】Feel Like Home Getaway byⓗⓢ
Kornesh,,Desember 2021,3.0,Chose this place as this was rated super clean. We specifically requested the host to put extra care into ensuring the bedsheets are clean but was disappointed we checked in. They offered to change the bedsheets but we just went to IKEA and bought our own. And there was some stain on the sofa. All this ruined the experience for us.,【JB City Suasana】Feel Like Home Getaway byⓗⓢ
Farah,,Maret 2021,3.0,"The location is strategic and the place is nice. Just that, there’s no washing machine in the place and is at top floor. And the coin machine wasn’t working, hence we couldn’t wash our clothes as we stayed around 6 nights. Was hoping that it could be stated earlier. But overall, it was a nice and convenient place.",【JB City Suasana】Feel Like Home Getaway byⓗⓢ
Mabel,,September 2025,4.0,It was easy to check in and host was responsive! House was mostly clean and we had a comfortable sleep. The down side was that the bathroom shower's drainage was kind of clogged resulting to us not daring to use the shower.,【JB City Suasana】Feel Like Home Getaway byⓗⓢ
Yu Jia,,Agustus 2025,4.0,"location was great! We did have a couple of issues though—the TV was acting up at first but thankfully rebooted on its own after a while. The main problem was the bedroom aircon, wasn’t cold at all! My friends and I ended up sleeping in the living room on the sofa bed instead.",【JB City Suasana】Feel Like Home Getaway byⓗⓢ
HongWei,,Juni 2025,4.0,It's okay,【JB City Suasana】Feel Like Home Getaway byⓗⓢ
Heng,,Mei 2025,4.0,Very convenient place to buy some groceries.,【JB City Suasana】Feel Like Home Getaway byⓗⓢ
Karthik,,Maret 2025,4.0,The place was more or less as defined. it's definitely very spacious for studio apartment. Aircons worked well. Bathroom was clean. Mattress in good condition and clean. Only thing is the sofa and the red chair seemed dirty. was not clean enough. we felt little uncomfortable using them. otherwise everything else was well instructed and it was a nice stay.,【JB City Suasana】Feel Like Home Getaway byⓗⓢ
Honeyzz,,Agustus 2025,5.0,"very convenient, there is food everywhere.",【JB City Suasana】Feel Like Home Getaway byⓗⓢ
Ghufran,,Agustus 2025,5.0,"a nice place to stay, walking distance to malls and  easy to find a place to eat.",【JB City Suasana】Feel Like Home Getaway byⓗⓢ
Sulaiman,,Juli 2025,5.0,Value for money,【JB City Suasana】Feel Like Home Getaway byⓗⓢ
Jacob,,Juli 2025,5.0,Havona was fast to reply whenever I had issues such as door lock not working. They came down immediately and resolved it.,【JB City Suasana】Feel Like Home Getaway byⓗⓢ
Supriya,,Juli 2025,5.0,"Havona’s communication was impeccable from the start and their clear directions made the place very easy to find. It’s about a 5-10mins walk from CIQ and very convenient to get to Hai Di Lao, Din Tai Fung, H&M, etc. which are all within walking distance. Very near to KSL and other malls as well, we had a great time. Most of all the place was very clean and I wasn’t itchy while sleeping which has happened in some places where the sheets are old or dirty but this place was truly spotless and I felt right at home! Only feedback is that the Netflix on the TV was unfortunately not working (remote wouldn’t let me click the login button no matter how many times I tried for some reason) and unfortunately my HDMI cable was too big to fit as well which was the only let-down but apart from that, everything was perfect hence the 5 stars nonetheless - thank you Havona!",【JB City Suasana】Feel Like Home Getaway byⓗⓢ
Huai,,Juni 2025,5.0,"Place is spacious, toilet has bidet spray, check in is extremely easy, aircon is strong and location is perfect!",【JB City Suasana】Feel Like Home Getaway byⓗⓢ
Kwee Yong,,Juni 2025,5.0,Super convenient. Apartment was simple and sufficient. Fuss free.,【JB City Suasana】Feel Like Home Getaway byⓗⓢ
Wei Phang,,Juni 2025,5.0,Easy to check and and had a pleasant stay,【JB City Suasana】Feel Like Home Getaway byⓗⓢ
Mika,"Zürich, Switzerland",September 2024,1.0,"Bali Belly vom Hotel Restaurant! A lot of ants in the property, from sunrise the chickens around the property are very noisy, charge way too much for taxi back to the ferry ( 2x more than other taxi drivers), breakfast unloving, staff mostly very unfriendly.",Cute Little Gem 10 minutes to Crystal Bay Beach
Louis,,Juli 2023,1.0,"Listing does not match reality. 
The staff was kind and very helpful but the hotel says it is ""luxurious"" but is not luxurious at all:
- No hot water during our 4 days of presence. We made several complaints and the staff made us believe that they had brought a plumber: a lie (not the only one). Expect cold showers throughout your stay.
- On our 2nd day the cleaning was not done. We learned that we had to ask the staff, something that was not specified to us.
- The rooms are small and the deckchairs are glued to those of the neighbors.
- The food is not good and expensive.
- The hotel made us believe that they had planned a taxi to see the sunset, we waited more than 30 minutes in vain. We ended up walking there.
- The rates offered by the hotel for certain activities are cheaper elsewhere.",Cute Little Gem 10 minutes to Crystal Bay Beach
Oliver,,Agustus 2025,2.0,"Unfortunately whilst i stayed here i had some issues. A few were minor but then i woke up to ants all over my bedding. It was disgusting. I had compensation of a free taxi back to the harbour but that really put me off the place. The shower was not good what so ever, but i guess you get what you pay for so more fool me. Just be careful.",Cute Little Gem 10 minutes to Crystal Bay Beach
Simon,,Agustus 2024,2.0,"We had no water for 1.5 days. The staff were very friendly but could do nothing about this mess. The beds were very hard, so I would not come back.",Cute Little Gem 10 minutes to Crystal Bay Beach
Sascha,,Juli 2024,2.0,"Breakfast options are not clear and far too little!
The communication with the staff is an imposition. According to an employee, a taxi was reserved and we waited unnecessarily long for him to notice that a taxi was no longer coming. It was never reserved. Then he called a taxi that was twice as expensive as in Germany, allegedly the only thing that drove.
Rooms are nice and the pool is great for swimming.",Cute Little Gem 10 minutes to Crystal Bay Beach
Georgiana,,Desember 2023,2.0,"At Pradja it was all clean, impeccable. Unfortunately, there were two big problems. We wanted to leave after the first day. We didn't have the water, every day the owner apologized and said that the water would come right away, but we had to wait so we could take a shower, the toilet water was not pulled at all. None of the 4 days we were there. I was really dissatisfied here. And in connection with breakfast, bad skinny, from everything they have to choose one option and it's very little, you can't get enough. I don't recommend accommodation for more than one night. It's not worth the money.",Cute Little Gem 10 minutes to Crystal Bay Beach
Christie,,November 2023,2.0,"The shower was broken, the head dropped from the wall and caused me a cut on my head. The staff were helpful and accommodating at first allowing us to check in earlier. However the manager was misleading then unhelpful when needed due to this we stayed one night rather than two.",Cute Little Gem 10 minutes to Crystal Bay Beach
Alina,,Juni 2023,2.0,"Room is quite noisy. Breakfast is relatively little, and food is insufficiently prepared( e.g. pancake has been dirty in the middle). Although in the description that scooters can be borrowed, we did not get any, although the scooters and mottorad are registered in the International Driver's License. That's why we couldn't really do anything on the island, which was a shame. As a result, they left earlier than planned. Accommodation corresponds to the pictures and was very clean.",Cute Little Gem 10 minutes to Crystal Bay Beach
Yuanyuan,,April 2023,2.0,"No toothbrushes, toothpastes, no hair dryer. The experience is poor.",Cute Little Gem 10 minutes to Crystal Bay Beach
Mohak,,Maret 2023,2.0,"Komang was trying to make money from us.
He will just smile and try to make money always
if we ask for little bit things which should be included in the service he ask for the charges in that...
I would not recommend this place to anyone as the host was just looking for the money",Cute Little Gem 10 minutes to Crystal Bay Beach
Bacchewar,,Desember 2022,2.0,staff was not that good as per mention location was not as good when it rains all water comes inside the room,Cute Little Gem 10 minutes to Crystal Bay Beach
Rachel,"Raymore, Missouri",September 2025,3.0,If you book you just need to realize you aren’t in a tourist area. We are Americans so it was like camping compared to where we stayed in UBUD. It was maybe clean but looked like a cabin in the woods.,Cute Little Gem 10 minutes to Crystal Bay Beach
Mohammed,,Juni 2025,3.0,Somewhat disappointed,Cute Little Gem 10 minutes to Crystal Bay Beach
Hong Ni Connie,,Januari 2025,3.0,"We stayed for 1 night at the hotel. The view was good with a shared pool, the service was great. We got to rent a motorcycle from them. However, some amenities were missing such as hair dryer and refrigerator. 
Moreover, a bit bugs appeared in the shower room. The breakfast was just okay, with very simple choices. In general, the experience was okay.",Cute Little Gem 10 minutes to Crystal Bay Beach
Tanja,,Januari 2025,3.0,"Really cute little Airbnb! Staff was super nice and helpful! 
We did have to check out early though as we could not see from the pictures that it was an open bathroom - and theres a big gap in the bathroom door to the room.
The place is in the jungle which therefore means a lot of animals so that’s thing to note. Nothing against the Airbnb and if you’re up for that then I absolutely recommend!",Cute Little Gem 10 minutes to Crystal Bay Beach
Yanira,,November 2024,3.0,"Everything was very clean and the place is comfortable and beautiful.  But we didn't like our food, quite poor quality. The location is quite bad since it is very secluded and there is nothing close and difficult to access, but if it is what you are looking for it is perfect.",Cute Little Gem 10 minutes to Crystal Bay Beach
